bank_service,bank_trustsec,bank_satisfaction,bank_future,mox_support,ai_attitude
3.51,2.92,3,2,4,4
3.56,3.23,5,5,4,3
3.65,2.74,4,3,3,4
4.02,3.03,4,2,2,4
3.26,3.8,4,3,3,4
3.18,4.21,4,4,4,3
4.57,3.2,2,3,4,4
3.84,4.78,4,4,5,4
4.02,3.33,4,4,3,4
3.75,3.93,4,4,3,4
4.32,2.96,5,3,3,4
3.61,3.65,3,5,3,4
3.84,3.38,4,5,4,4
3.78,3.47,5,4,4,5
2.51,2.26,3,4,3,5
3.23,3.83,4,5,3,4
3.61,2.88,4,3,3,3
3.49,3.14,4,2,5,3
3.54,4.22,4,3,4,5
3.2,3.9,5,5,3,5
3.5,3.81,4,4,3,3
4.83,2.93,3,2,3,4
4.72,3.92,4,4,4,4
3.22,3.27,4,3,3,4
4.5,3.5,3,3,4,4
3.02,3.54,2,5,4,5
3.31,3.85,3,4,3,4
3.69,3.07,3,3,4,4
3.7,3.58,4,4,3,5
3.95,3.49,3,3,4,4
3.47,4.23,3,4,4,4
4.38,3.7,4,4,4,4
