model,term,n,r_squared,adj_r_squared,f_statistic_conventional_ols,model_p_conventional_ols,model_p_conventional_ols_formatted,f_statistic_hc3,model_p_hc3,model_p_hc3_formatted,coef,se_conventional_ols,p_conventional_ols,p_conventional_ols_formatted,ci95_conventional_ols,robust_se_hc3,robust_p_hc3,robust_p_hc3_formatted,robust_ci95_hc3
Model A,const,212,0.09464275434652003,0.08597904864648664,10.92405001085808,3.0738882947196886e-05,p<0.001,8.712032838703774,0.0002322078170466422,p<0.001,2.5079476180416265,0.2654218633228145,7.167352290232126e-18,p<0.001,"[1.9847004080413506, 3.0311948280419023]",0.30449901019730263,1.9208893523004148e-14,p<0.001,"[1.907664523277108, 3.108230712806145]"
Model A,bank_service,212,0.09464275434652003,0.08597904864648664,10.92405001085808,3.0738882947196886e-05,p<0.001,8.712032838703774,0.0002322078170466422,p<0.001,0.2966407472251743,0.13080642358901096,0.024364816397479214,p=0.024,"[0.03877165032330998, 0.5545098441270386]",0.13797955169704515,0.03271268887680878,p=0.033,"[0.02463069289608194, 0.5686508015542666]"
Model A,bank_trustsec,212,0.09464275434652003,0.08597904864648664,10.92405001085808,3.0738882947196886e-05,p<0.001,8.712032838703774,0.0002322078170466422,p<0.001,0.024453206624660218,0.12144238910448324,0.8406157101292662,p=0.841,"[-0.21495582501718324, 0.2638622382665037]",0.1289413734454614,0.8497706474592367,p=0.850,"[-0.2297391687294542, 0.27864558197877465]"
Model B,const,212,0.5542023700791405,0.5477725965706666,86.19314029471577,2.794779665302032e-36,p<0.001,84.1025056851718,1.1356817122262778e-35,p<0.001,0.9756596978164382,0.22137181517159804,1.675912613558237e-05,p<0.001,"[0.539239628967613, 1.4120797666652636]",0.2068440281942057,4.3882037172815576e-06,p<0.001,"[0.5678802117264433, 1.3834391839064333]"
Model B,bank_satisfaction,212,0.5542023700791405,0.5477725965706666,86.19314029471577,2.794779665302032e-36,p<0.001,84.1025056851718,1.1356817122262778e-35,p<0.001,0.7500400062859275,0.048291663452851304,1.2527290258504284e-36,p<0.001,"[0.6548361472373811, 0.8452438653344738]",0.05016300581706648,8.264108439125636e-35,p<0.001,"[0.6511469180426102, 0.8489330945292448]"
Model B,bank_trustsec,212,0.5542023700791405,0.5477725965706666,86.19314029471577,2.794779665302032e-36,p<0.001,84.1025056851718,1.1356817122262778e-35,p<0.001,0.04196263020834945,0.08479255692387513,0.6212030954221356,p=0.621,"[-0.1252003552959284, 0.2091256157126273]",0.09193688861874182,0.6485580036779449,p=0.649,"[-0.13928493841115322, 0.22321019882785212]"
Model B,bank_service,212,0.5542023700791405,0.5477725965706666,86.19314029471577,2.794779665302032e-36,p<0.001,84.1025056851718,1.1356817122262778e-35,p<0.001,-0.08206908504889698,0.09243852808915888,0.3756612498965552,p=0.376,"[-0.26430560310646156, 0.10016743300866762]",0.1021540771171046,0.42266917940777254,p=0.423,"[-0.28345917318670644, 0.11932100308891247]"
Model C,const,164,0.045752204468335944,0.02786005830211724,2.5571110387371236,0.05713939192696905,p=0.057,2.7524818811212044,0.04445856055057947,p=0.044,2.2638583056434927,0.4426438736182542,8.901886363629385e-07,p<0.001,"[1.389680229110006, 3.1380363821769794]",0.44205385904715405,8.629457974525858e-07,p<0.001,"[1.390845449806895, 3.1368711614800904]"
Model C,bank_satisfaction,164,0.045752204468335944,0.02786005830211724,2.5571110387371236,0.05713939192696905,p=0.057,2.7524818811212044,0.04445856055057947,p=0.044,0.13321001563757365,0.0889074011267657,0.13602549552599336,p=0.136,"[-0.04237334954329272, 0.30879338081844]",0.10100893382249386,0.18912233421232977,p=0.189,"[-0.0662726853424869, 0.3326927166176342]"
Model C,bank_trustsec,164,0.045752204468335944,0.02786005830211724,2.5571110387371236,0.05713939192696905,p=0.057,2.7524818811212044,0.04445856055057947,p=0.044,0.15719509737124845,0.14547054892715156,0.2815023467281012,p=0.282,"[-0.13009491663915565, 0.4444851113816526]",0.15169515523106009,0.3016460751764419,p=0.302,"[-0.1423879013391354, 0.45677809608163233]"
Model C,bank_service,164,0.045752204468335944,0.02786005830211724,2.5571110387371236,0.05713939192696905,p=0.057,2.7524818811212044,0.04445856055057947,p=0.044,0.00902458380716148,0.15673979999181156,0.9541575335398368,p=0.954,"[-0.3005210917108803, 0.3185702593252033]",0.16780839634932276,0.9571782545139094,p=0.957,"[-0.3223804799243484, 0.34042964753867133]"
Moderation,const,212,0.04088658108761167,0.02705321446868303,2.9556493523178284,0.03349786332270024,p=0.033,2.4836063782654287,0.06187076263367822,p=0.062,3.6026702635730987,0.07365399204366004,4.7049161436982033e-116,p<0.001,"[3.457466230919853, 3.7478742962263443]",0.07445185308300105,3.694716412441624e-115,p<0.001,"[3.4558933000142136, 3.749447227131984]"
Moderation,centered_bank_trustsec,212,0.04088658108761167,0.02705321446868303,2.9556493523178284,0.03349786332270024,p=0.033,2.4836063782654287,0.06187076263367822,p=0.062,0.17874874771394716,0.06520729007256448,0.00665364512316166,p=0.007,"[0.050196836076710716, 0.3073006593511836]",0.06887102985617626,0.0101207687454306,p=0.010,"[0.04297401248749902, 0.31452348294039534]"
Moderation,centered_ai_attitude,212,0.04088658108761167,0.02705321446868303,2.9556493523178284,0.03349786332270024,p=0.033,2.4836063782654287,0.06187076263367822,p=0.062,-0.006980346501983162,0.0738152893650577,0.9247513466115995,p=0.925,"[-0.15250236628495845, 0.1385416732809921]",0.08319451469734038,0.9332135133515175,p=0.933,"[-0.17099289617509156, 0.1570322031711252]"
